Award/Scholarship Name,Field/Category,Award Type,Organization/Institution,Award Amount,Renewable,Number of Awards,Eligibility,Academic Requirement,Geographic Requirement,Financial Need-Based,Special Interest/Skills,Application Deadline,Application Requirements,Application Link/Instructions,Supporting Documents,Contact Information,Website,Usage Restrictions,Payment Method,Renewal Requirements
BC Excellence Scholarships,General,Scholarship,Government of BC,"$5,000",No,55,Grade 12 students in BC,Strong academic standing,BC,No,Leadership,15-Feb,"Application form, transcript",gov.bc.ca,Transcript,info@gov.bc.ca,https://www2.gov.bc.ca/gov/content/education-training/k-12/support/scholarships/provincial-scholarships/bc-excellence-scholarships,Tuition only,Direct to institution,N/A
BC Achievement Scholarships,General,Scholarship,Government of BC,"$1,250",No,"8,000",Top academic achievers in BC,Top academic achievers,BC,No,Academic Achievement,31-Mar,"Application form, transcript",gov.bc.ca,Transcript,info@gov.bc.ca,https://www2.gov.bc.ca/gov/content/education-training/k-12/support/scholarships/provincial-scholarships/bc-achievement-scholarships,Tuition only,Direct to institution,N/A
Pathway to Teacher Education,Education,Scholarship,Government of BC,"$5,000",No,20,Students pursuing teaching,Interest in teaching,BC,No,Teaching,15-Mar,"Application form, essay",gov.bc.ca,Transcript,info@gov.bc.ca,https://www2.gov.bc.ca/gov/content/education-training/k-12/support/scholarships/provincial-scholarships/pathway-to-teacher-education-scholarship,Tuition,Direct to institution,N/A
UBC Presidential Scholars Award Program,General,Scholarship,University of British Columbia,"Up to $80,000",Yes,Varies,High academic achievers,High academic standing,BC,No,Leadership,01-Dec,"Application form, transcript, references",ubc.ca,"Transcript, references",info@ubc.ca,https://you.ubc.ca/financial-planning/scholarships-awards-canadian-students/presidential-scholars/,Tuition and living expenses,Direct to institution,Maintain GPA
SFU Entrance Scholarships,General,Scholarship,Simon Fraser University,Varies,Yes,Varies,High academic achievers,High academic standing,BC,No,Varies,Varies,"Application form, transcript",sfu.ca,Transcript,info@sfu.ca,https://www.sfu.ca/students/financialaid/entrance.html,Tuition,Direct to institution,Maintain GPA
UVic Excellence Scholarships,General,Scholarship,University of Victoria,Varies,Yes,Varies,High academic achievers,High academic standing,BC,No,Varies,Varies,"Application form, transcript",uvic.ca,Transcript,info@uvic.ca,https://www.uvic.ca/registrar/safa/entrance-scholarships/,Tuition,Direct to institution,Maintain GPA
KPU Entrance Awards,General,Scholarship,Kwantlen Polytechnic University,Varies,Yes,Varies,High academic achievers,High academic standing,BC,No,Varies,Varies,"Application form, transcript",kpu.ca,Transcript,info@kpu.ca,https://www.kpu.ca/awards/entrance-scholarships,Tuition,Direct to institution,Maintain GPA
UBC Centennial Scholars Entrance Award,General,Scholarship,University of British Columbia,Varies,Yes,Varies,High academic achievers with financial need,High academic standing with financial need,BC,Yes,Leadership & Financial Need,Varies,"Application form, financial need documentation",ubc.ca,"Financial documentation, transcript",info@ubc.ca,https://you.ubc.ca/financial-planning/scholarships-awards-canadian-students/centennial-scholars/,Tuition and living expenses,Direct to institution,Maintain GPA and financial need
SFU Youth in Care Tuition Waiver Program,Youth in Care,Scholarship,Simon Fraser University,Full Tuition,Yes,Varies,Youth in care in BC pursuing undergraduate studies,Enrolled in undergraduate studies,BC,Yes,N/A,Varies,"Proof of youth in care status, transcript",sfu.ca,"Proof of youth in care, transcript",info@sfu.ca,https://www.sfu.ca/students/financialaid/entrance/youthcare.html,Tuition,Direct to institution,Maintain enrollment
Surrey Schools Scholarship Program,General,Scholarship,Surrey School District,Varies,No,Varies,Grade 12 students in Surrey,Strong academic standing,Surrey,No,"Leadership, community service",Varies,"Application form, transcript",surreyschools.ca,Transcript,info@surreyschools.ca,https://www.surreyschools.ca/page/2090/scholarships-bursaries,Tuition,Direct to institution,N/A
Vancouver School Board District Scholarships,General,Scholarship,Vancouver School Board,Varies,No,Varies,Grade 12 students in Vancouver,Strong academic standing,Vancouver,No,Varies,Varies,"Application form, transcript",vsb.bc.ca,Transcript,info@vsb.bc.ca,https://www.vsb.bc.ca/student_learning/scholarships_and_awards/Pages/default.aspx,Tuition,Direct to institution,N/A
Abbotsford Community Foundation Student Awards,General,Scholarship,Abbotsford Community Foundation,Varies,No,Varies,Grade 12 students in Abbotsford,Strong academic standing,Abbotsford,Yes,"Leadership, community service",Varies,"Application form, transcript",abbotsfordcf.org,"Transcript, essay",info@abbotsfordcf.org,https://abbotsfordcf.org/granting/student-awards-program/,Tuition and living expenses,Direct to institution,N/A
Burnaby School District Bursaries,General,Bursary,Burnaby School District,Varies,No,Varies,Grade 12 students in Burnaby,Strong academic standing,Burnaby,Yes,Varies,Varies,"Application form, transcript, financial need documentation",burnabyschools.ca,"Transcript, financial need documentation",info@burnabyschools.ca,https://burnabyschools.ca/scholarships-and-bursaries/,Tuition,Direct to institution,N/A
Richmond School District Scholarships,General,Scholarship,Richmond School District,Varies,No,Varies,Grade 12 students in Richmond,Strong academic standing,Richmond,No,Varies,Varies,"Application form, transcript",sd38.bc.ca,Transcript,info@sd38.bc.ca,https://www.sd38.bc.ca/students/scholarships,Tuition,Direct to institution,N/A
Canada-wide Science Fair Scholarships,STEM,Scholarship,Youth Science Canada,Varies,No,Varies,Participants of Canada-wide Science Fair,Strong academic standing,Canada,No,STEM,Varies,"Application form, transcript",youthscience.ca,Transcript,info@youthscience.ca,https://youthscience.ca/science-fairs/cwsf/awards-and-prizes/,Tuition,Direct to institution,N/A
TD Scholarships for Community Leadership,Leadership,Scholarship,TD Bank,"$70,000",Yes,20,Canadian students involved in leadership,Minimum 75% average,Canada,Yes,Community Leadership,15-Nov,"Application form, essay, transcript",scholarships.td.com,"Transcript, essay",scholarships@td.com,https://www.td.com/ca/en/personal-banking/solutions/student-banking/community-leadership-scholarship-for-canadians/,Tuition and living expenses,Direct to institution,Maintain GPA
Loran Scholars Foundation,Leadership,Scholarship,Loran Scholars Foundation,"$100,000",Yes,30,Students demonstrating leadership and character,Strong academic standing,Canada,Yes,Leadership,15-Oct,"Essay, references",loranscholar.ca,References,info@loranscholar.ca,https://loranscholar.ca/becoming-a-scholar/,Tuition,Direct to institution,Maintain GPA
Schulich Leader Scholarships,STEM,Scholarship,Schulich Foundation,"$100,000",Yes,50,Canadian high school graduates in STEM,Excellent academic standing,Canada,No,STEM,15-Jan,"Transcript, essay",schulichleaders.com,"Transcript, essay",info@schulichleaders.com,https://schulichleaders.com/,Tuition,Direct to institution,Maintain GPA
Vancouver Foundation Youth Scholarships,Community Service,Scholarship,Vancouver Foundation,Varies,No,Varies,Youth involved in community service,Good academic standing,BC,No,Community Service,Varies,"Application form, transcript",vancouverfoundation.ca,Transcript,info@vancouverfoundation.ca,https://www.vancouverfoundation.ca/grants/search-grants,Tuition,Direct to institution,N/A
Chinese Benevolent Association Scholarships,Cultural,Scholarship,Chinese Benevolent Association,Varies,No,Varies,Students of Chinese descent,Strong academic standing,BC,No,Cultural involvement,Varies,"Application form, transcript",chinesebenevolent.ca,Transcript,info@chinesebenevolent.ca,http://www.cbaofbc.com/scholarship.html,Tuition,Direct to institution,N/A
Indigenous Learning Bursary,Indigenous,Bursary,First Nations Education Steering Committee,Varies,No,Varies,Indigenous students in BC,Good academic standing,BC,Yes,Indigenous studies,Varies,"Application form, financial need documentation",fnesc.ca,Financial need documentation,info@fnesc.ca,http://www.fnesc.ca/bursary/,Tuition,Direct to institution,N/A
Beedie Luminaries Scholarship,Leadership,Scholarship,Beedie Luminaries,"$40,000",Yes,Varies,Students facing financial adversity,Good academic standing,BC,Yes,Leadership,Varies,"Application form, essay, financial need documentation",beedieluminaries.ca,"Financial need documentation, essay",info@beedieluminaries.ca,https://beedieluminaries.ca/,Tuition and living expenses,Direct to institution,Maintain GPA
Black Business and Professional Association National Scholarships,Cultural,Scholarship,BBPA,Varies,No,Varies,Students of African or Caribbean descent,Strong academic standing,Canada,Yes,Cultural and leadership,Varies,"Application form, transcript",bbpa.org,Transcript,info@bbpa.org,https://bbpa.org/bbpa-national-scholarships/,Tuition,Direct to institution,N/A
Victoria Foundation Youth Scholarships,Community Service,Scholarship,Victoria Foundation,Varies,No,Varies,"Youth in Victoria, BC involved in community work",Good academic standing,"Victoria, BC",No,Community Service,Varies,"Application form, transcript",victoriafoundation.bc.ca,Transcript,info@victoriafoundation.bc.ca,https://victoriafoundation.bc.ca/grants-funding/scholarships-student-awards/,Tuition,Direct to institution,N/A
Shad Valley Scholarships,STEM,Scholarship,Shad Canada,Varies,No,Varies,High school students with leadership potential,Strong academic performance,Canada,No,STEM & Leadership,Varies,"Application form, transcript",shad.ca,Transcript,info@shad.ca,https://www.shad.ca/apply/,Tuition,Direct to institution,N/A
BC Hydro Scholarships,STEM,Scholarship,BC Hydro,Varies,No,Varies,BC students pursuing energy-related fields,Strong academic performance,BC,No,Energy-related fields,Varies,Application form,bchydro.com,Transcript,info@bchydro.com,https://www.bchydro.com/community/community-giving/scholarships.html,Tuition,Direct to institution,N/A
Emily Carr Youth Arts Scholarship,Arts,Scholarship,Emily Carr University,Varies,No,Varies,BC high school students excelling in arts,Artistic talent,BC,No,Arts,15-Mar,"Portfolio, application",ecuad.ca,Portfolio,info@ecuad.ca,https://www.ecuad.ca/student-life/financial-aid-awards/scholarships,Varies,Direct to student,N/A
Canadian Women in Technology Award,Technology,Award,Canadian Women in Technology,Varies,No,Varies,Female students excelling in technology,Interest in STEM fields,Canada,No,Technology,Varies,"Application form, essay",canwit.ca,Essay,info@canwit.ca,https://www.canwit.ca/awards/,Tuition,Direct to institution,N/A
