Resource Type,Resource Name,Subject/Area,Age Group,Grades,Organizer,Organizer Location,Eligibility,Brief Description,Link to Resource
Contest,AMC 8,Math,13-14,Grades 6-8,Mathematical Association of America (MAA),"USA, Washington, DC",International,25 multiple-choice questions in 40 minutes focusing on middle school math. No calculator allowed. Top 1% receive Distinguished Honor Roll; top 5% receive Honor Roll. Open to students worldwide. Held annually in January.,https://maa.org/amc-8-information-and-registration/
Contest,AMC 10/12,Math,15-19,Grades 9-12,Mathematical Association of America (MAA),"USA, Washington, DC",International,AMC 10 covers grades 9-10 math; AMC 12 covers the entire high school curriculum. 25 questions in 75 minutes. Calculators banned. Qualifiers can proceed to the AIME and further. Held annually in November.,https://maa.org/amc-10-12-information-and-registration/
Contest,Canada Lynx Math Competition,Math,12-15,Grades 7-9,Canadian Mathematical Society,"Ottawa, ON, Canada",International,"Aimed at developing problem-solving skills for middle schoolers. Features problems reflecting various math disciplines. Held annually, typically online.",https://cms.math.ca/competitions/clmc/clmc2024/
Contest,Canadian Open Mathematics Challenge (COMC),Math,14-18,Grades 9-12,Canadian Mathematical Society,"Ottawa, ON, Canada",International,"The most prestigious open math contest in Canada, serving as a stepping stone for the International Math Olympiad. Held annually in November.",https://cms.math.ca/competitions/comc/comc2024/
Contest,Canada Jay Math Competition,Math,10-12,Grades 5-7,Canadian Mathematical Society,"Ottawa, ON, Canada",International,Focuses on elementary and junior high math skills to prepare students for more advanced competitions. Hosted annually online.,https://cms.math.ca/competitions/cjmc/cjmc2024/
Contest,CMO Qualifying Repêchage,Math,14-19,Grades 9-12,Canadian Mathematical Society (CMS),"Ottawa, ON, Canada","Nationwide, invitation-only",Invitation-only contest for top COMC participants. Students have a week to solve problems. Top scorers move to the CMO.,https://cms.math.ca/competitions/repechage/
Contest,Canadian Mathematical Olympiad (CMO) & Junior Olympiad (CJMO),Math,13-19,Grades 9-12,Canadian Mathematical Society (CMS),"Ottawa, ON, Canada","Nationwide, invitation-only",Canada’s premier Olympiad for high school students. CJMO targets younger participants. Winners represent Canada at the IMO.,https://cms.math.ca/competitions/cmo/
Contest,Caribou Mathematics Competition,Math,6-18,K-12,Caribou Contests Organization,Canada,"International, open to all","Online, bi-monthly contest with fun math puzzles for various age groups. Open to individuals and schools worldwide.",https://cariboutests.com/
Contest,Euclid Mathematics Contest,Math,15-18,Grades 11-12,"CEMC, University of Waterloo","Waterloo, ON, Canada","International, open to all","Global contest for advanced students, preparing them for higher education in math. Involves complex problem-solving.",https://www.cemc.uwaterloo.ca/contests/euclid.html
Contest,Gauss Mathematics Contest,Math,10-13,Grades 7-8,"CEMC, University of Waterloo","Waterloo, ON, Canada","Open internationally, no prerequisites",Introductory contest fostering interest in math among younger students through engaging problems.,https://www.cemc.uwaterloo.ca/contests/gauss.html
Contest,Canadian Computing Challenge (CCC),"Computer Science, Programming",14-18,Grades 6- 12,"Centre for Education in Mathematics and Computing, University of Waterloo","Waterloo, Ontario, Canada",Open to students in Canada and certain international locations. Participants must meet age and school enrollment criteria.,"The Canadian Computing Competition (CCC) is an annual programming contest designed to help high school students enhance their algorithmic thinking. It has two levels: Junior and Senior. Participants can join online through their schools, and the top performers may qualify for the Canadian Computing Olympiad (CCO). Format: 5 questions, 3-hour limit, written online. Languages: Python, C++, Java. Frequency: Annually.",https://www.cemc.uwaterloo.ca/contests/ccc-cco.html
Contest,Beaver Computing Challenge,"Computer Science, Logic",10-16,Grades 5- 12,"Centre for Education in Mathematics and Computing, University of Waterloo","Waterloo, Ontario, Canada",Open to elementary and high school students. Accessible internationally.,"The Beaver Computing Challenge introduces students to critical thinking and problem-solving in computer science. It consists of multiple-choice questions focusing on logical thinking. The contest is open for students aged 10-16, offered annually. The challenge is accessible to beginners and aims to promote interest in computing.",https://www.cemc.uwaterloo.ca/contests/bcc.html
Contest,Pascal Contest,Mathematics,14-15,9,"Centre for Education in Mathematics and Computing, University of Waterloo","Waterloo, Ontario, Canada",Open to grade 9 students internationally.,"The Pascal Contest is an annual math competition designed for grade 9 students. It focuses on developing problem-solving skills and promoting mathematical thinking. Participants can register individually or through their school. Format: Written in school, involves challenging math questions.",https://www.cemc.uwaterloo.ca/contests/pcf.html
Contest,Cayley Contest,Mathematics,15-16,10,"Centre for Education in Mathematics and Computing, University of Waterloo","Waterloo, Ontario, Canada",Open to grade 10 students internationally.,"The Cayley Contest is a mathematics competition targeting grade 10 students, held annually. It provides challenging problems that enhance participants' analytical and mathematical skills. The contest is written in school, and top participants receive certificates of distinction.",https://www.cemc.uwaterloo.ca/contests/pcf.html
Contest,Fermat Contest,Mathematics,16-17,11,"Centre for Education in Mathematics and Computing, University of Waterloo","Waterloo, Ontario, Canada",Open to grade 11 students internationally.,"The Fermat Contest aims to foster a deep interest in mathematics among grade 11 students. It includes complex math problems, encouraging students to enhance their problem-solving abilities. Participants take the test in school, and the competition is conducted annually.",https://www.cemc.uwaterloo.ca/contests/pcf.html
Contest,Fryer Contest,Mathematics,14-15,9,"Centre for Education in Mathematics and Computing, University of Waterloo","Waterloo, Ontario, Canada",Open to grade 9 students internationally.,"The Fryer Contest, organized annually, aims to engage students in solving mathematical problems that involve critical thinking. The contest includes four questions and is intended to foster problem-solving and communication skills. Participants have 75 minutes to complete it.",https://www.cemc.uwaterloo.ca/contests/fgh.html
Contest,Galois Contest,Mathematics,15-16,10,"Centre for Education in Mathematics and Computing, University of Waterloo","Waterloo, Ontario, Canada",Open to grade 10 students internationally.,"The Galois Contest challenges grade 10 students with mathematical problems requiring advanced thinking. Held annually, this 75-minute contest encourages participants to demonstrate both problem-solving ability and clarity in their answers.",https://www.cemc.uwaterloo.ca/contests/fgh.html
Contest,Hypatia Contest,Mathematics,16-17,11,"Centre for Education in Mathematics and Computing, University of Waterloo","Waterloo, Ontario, Canada",Open to grade 11 students internationally.,The Hypatia Contest offers a platform for grade 11 students to tackle challenging mathematical questions. The contest includes both short-answer and full-solution questions to develop students' mathematical reasoning and communication skills. It is held annually and takes 75 minutes to complete.,https://www.cemc.uwaterloo.ca/contests/fgh.html
Contest,Canadian Math Kangaroo Contest,Mathematics,6-18,1-12,Math Kangaroo Canada,Various locations across Canada,"Open to students across Canada, organized by age and grade level.","The Canadian Math Kangaroo Contest promotes mathematics among students through engaging problem-solving questions. Participants are grouped by grade, and the contest is held annually at multiple venues across Canada. The contest aims to make math enjoyable and foster an interest in mathematical thinking.",https://mathkangaroo.ca
Contest,The Betty Award,Creative Writing,8-12,3-7,The Betty Award Organization,USA,"Open to international participants, targeting young writers aged 8-12.","The Betty Award is a creative writing contest that encourages young authors to showcase their talent. It is held bi-annually, offering prizes for the best short stories. This contest aims to inspire young writers to develop their creative expression through storytelling.",https://www.thebettyaward.com
Contest,Thales,Mathematics,8-9,Grade 3,Mathematics Contest Centre,"Pierrefonds, QC, Canada",Canadian students; school registration,"Annual math contest for Grade 3 students with 45-min test of 30 questions. Top scorers get certificates, medals, and a chance to join MathPath camp.",https://mathematica.ca/eng/index.htm
Contest,Byron-Germain,Mathematics,9-10,Grade 4,Mathematics Contest Centre,"Pierrefonds, QC, Canada",Canadian students; school registration,Annual math contest for Grade 4 students with 45-min test of 30 questions. Awards include certificates and medals for top performers.,https://mathematica.ca/eng/index.htm
Contest,Fibonacci,Mathematics,10-11,Grade 5,Mathematics Contest Centre,"Pierrefonds, QC, Canada",Canadian students; school registration,"Annual contest for Grade 5 students, 60-min test with 40 questions. Top students earn awards, with scholarships to MathPath for perfect scores.",https://mathematica.ca/eng/index.htm
Contest,Pythagoras,Mathematics,11-12,Grade 6,Mathematics Contest Centre,"Pierrefonds, QC, Canada",Canadian students; school registration,"Annual Grade 6 contest with a 75-min test of 50 questions. Participants get certificates, and top students earn medals or scholarships.",https://mathematica.ca/eng/index.htm
Contest,Euler,Mathematics,12-13,Grade 7,Mathematics Contest Centre,"Pierrefonds, QC, Canada",Canadian students; school registration,Annual contest for Grade 7 students with a 75-min test of 40 questions. Awards include medals and scholarships for MathPath for perfect scores.,https://mathematica.ca/eng/index.htm
Contest,Get to Know Nature Contest,"Nature, Art, Writing, Photography",6-18,K-12,Nature's Wild Neighbours Society,Canada,International; open to youth with artistic works inspired by nature,"An annual contest inviting youth to create art, writing, or photography inspired by nature. Winners receive awards and get their works showcased.",https://www.gettoknow.ca/
Contest,Eden Mills Poetry Contest for Kids and Teens,Poetry,5-18,K-12,Eden Mills Writers' Festival,"Ontario, Canada","Open internationally; for young writers, winners invited to read at the festival",Encourages kids and teens to explore creative expression through poetry. Winners are invited to present their work at the Eden Mills Festival.,https://edenmillswritersfestival.ca/poetry-contest-for-children-and-teens-winners/
Contest,Polar Expressions Publishing National Student Contests,"Writing, Poetry",5-18,K-12,Polar Expressions Publishing,"Maple Ridge, BC, Canada",Open to Canadian students with a focus on creative writing and poetry,Bi-annual national student contests in writing and poetry. Winning works are published in anthologies; offers prizes and opportunities to young writers.,https://www.polarexpressions.ca
